,Incident,Location,Reported-edited,Occurred,Comments / Nature of Fire,Disposition,UCPDI#,Hour,Week_Day,Month,Year,Weeks Since Start,Years since start,Months since start,week-composite,month-composite,Day of month,Date
2504,Found Property,901 E. 58th St. Mitchell ER),41033.49236,41033.45833,Staff member found a paring knife among patient's belongings / Turned over to CPD for safe-keeping,Closed,B00402,11,6,5,2012,96,2,22,6-96,5-22,4,5/4/2012
2505,Injured Person,5838 S. Kenwood (Lab School),41033.55833,41033.55556,Child ran into a metal pole in playground area / Transported to ER for treatment by CFD EMS,Closed,B00404,13,6,5,2012,96,2,22,6-96,5-22,4,5/4/2012
2506,Criminal Trespass to Property,5758 S. Maryland (DCAM),41033.62153,41033.61944,"Man, who ignored repeated warnings, arrested for trespass by UCPD",Arrest,B00406,14,6,5,2012,96,2,22,6-96,5-22,4,5/4/2012
2507,Theft,1020 E. 58th St. (Kent),41033.64861,5/4/12 1:20 PM to 3:20 PM,Book bag taken from unsecured locker / All items located in locker / Unfounded,Unfounded,B00405,15,6,5,2012,96,2,22,6-96,5-22,4,5/4/2012
2508,Burglary,Kenwood between 51st & 52nd,41033.66042,5/4/12 9:00 AM to 3:30 PM,Unknown person(s) gained entry to residence by prying front door lock / Took laptop computers and various other items,Open,B00407,15,6,5,2012,96,2,22,6-96,5-22,4,5/4/2012
2509,Lost Property,Between 1100 E. 57th St. & 1130 E. 59th St.,41033.83611,5/4/12 1:00 PM to 7:00 PM,Woman reported losing a set of keys,Closed,B00408,20,6,5,2012,96,2,22,6-96,5-22,4,5/4/2012
2510,Lost Property,In the Area of 59th & Harper,41033.87431,5/4/12 6:20 PM to 7:20 PM,Man reported losing wallet,Closed,B00409,20,6,5,2012,96,2,22,6-96,5-22,4,5/4/2012
2511,Traffic Violation,55th at Dorchester,41033.88194,41033.87847,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B00000,21,6,5,2012,96,2,22,6-96,5-22,4,5/4/2012
2512,Battery,Maryland at 54th,41034.13194,5/5/12 2:00 AM to 3:00 AM,Man walking on the sidewalk was struck in the face by an unknown man in an unprovoked attack / Refused medical attention,Open,B00410,3,7,5,2012,96,2,22,7-96,5-22,5,5/5/2012
2513,Public Indecency,5640 S. University (Bartlett Commons),41034.43125,41034.39583,Man arrested by UCPD for performing a lewd act in public and also for trespass to property,Arrest,B00411,10,7,5,2012,96,2,22,7-96,5-22,5,5/5/2012
2514,Traffic Violation,Midway Pl. at Woodlawn,41034.44167,41034.44167,UCPD officer arrested a motorist for driving with a suspended driver's license and no insurance,Arrest,B00000,10,7,5,2012,96,2,22,7-96,5-22,5,5/5/2012
2515,Theft,5811 S. Ellis (Cobb Hall),41034.54931,5/4/12 to 5/5/12 3:30 PM to 1:00 PM,Laptop computer taken from desk in unsecured room,Open,B00412,13,7,5,2012,96,2,22,7-96,5-22,5,5/5/2012
2516,Injured Person,5700 S. Woodlawn,41034.69931,41034.69931,Woman tripped over uneven pavement on the public way falling and causing injury to the right side of her face / Transported to ER by CFD EMS,Closed,B00414,16,7,5,2012,96,2,22,7-96,5-22,5,5/5/2012
2517,Theft,5811 S. Ellis (Cobb Hall),41034.70278,5/5/12 11:00 AM to 4:40 PM,Unknown person took cell phone and cash from unattended purse,Open,B00413,16,7,5,2012,96,2,22,7-96,5-22,5,5/5/2012
2518,Lost Property,5815 S. Maryland (Mitchell Hospital),41034.76528,4/27/12 to 5/5/12 9:00 AM to 6:20 PM,Patient's clothing lost,Closed,B00415,18,7,5,2012,96,2,22,7-96,5-22,5,5/5/2012
2519,Traffic Violation,61st between Ingleside & Ellis,41035.46042,41035.46042,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B00000,11,1,5,2012,96,2,22,1-96,5-22,6,5/6/2012
2520,Theft,Woodlawn between 61st & 62nd,41035.85972,5/5/12 to 5/6/12 2:00 PM to 4:00 PM,Unknown person took secured bicycle from yard of residential building,Open,B00416,20,1,5,2012,96,2,22,1-96,5-22,6,5/6/2012
2521,Unlawful Use of a Weapon,61st at Greenwood,41036.43056,5/5/12 12:20 AM to 12:25 AM,Investigation of an unlawful discharge of a firearm / CPD recovered and inventoried shell casings found at the scene,Open,B00417,10,2,5,2012,96,2,22,2-96,5-22,7,5/7/2012
2522,Lost Property,901 E. 58th St. (Mitchell ER),41036.60694,5/6/12 12:00 AM to 3:00 AM,Man reported losing his wallet while in ER waiting room,Closed,B00418,14,2,5,2012,96,2,22,2-96,5-22,7,5/7/2012
2523,Missing Person,5815 S. Maryland (Mitchell Hospital),41036.83264,41036.79167,Person believed to be missing was located / Unfounded report,Unfounded,B00419,19,2,5,2012,96,2,22,2-96,5-22,7,5/7/2012
2524,Theft,1100 E. 57th St. (Regenstein Library),41036.85347,5/7/12 8:10 PM to 8:25 PM,Unattended computer left on table in 5th floor study room was taken by an unknown person,Open,B00420,20,2,5,2012,96,2,22,2-96,5-22,7,5/7/2012
2526,Other Crime,58th & University,41038.06458,41038.06458,"UCPD officers arrested male for aggressive panhandling, being abusive to passersby, after he ignored repeated warnings",Arrest,B00422,1,4,5,2012,96,2,22,4-96,5-22,9,5/9/2012
2527,Theft,969 E. 60th St. (SSA),41038.37153,41038.37083,"Unknown male took unattended laptop computer from a chair in the lower level / Witnesses chased suspect, who dropped his back pack containing the computer, before he escaped",Open,B00423,8,4,5,2012,96,2,22,4-96,5-22,9,5/9/2012
2528,Lost Property,CTA Bus between 55th & Halsted and 55th & Ellis,41038.52639,5/8/12 11:40 AM to 12:00 PM,Man lost his wallet while on a CTA bus,Closed,B00424,12,4,5,2012,96,2,22,4-96,5-22,9,5/9/2012
2529,Injured Person,1366 E. 59th St. (Lab School),41038.64236,41038.64097,Child fell from roof of playhouse / Transported to Comer ER for examination,Closed,B00425,15,4,5,2012,96,2,22,4-96,5-22,9,5/9/2012
2530,Deceptive Practice,6031 S. Ellis,41038.71597,4/30/12 to 5/5/12 10:00 AM to 12:00 PM,Victims received a fraudulent check from person who agreed to sub-lease apartment,Open,B00426,17,4,5,2012,96,2,22,4-96,5-22,9,5/9/2012
2531,Theft,53rd near Dorchester,41038.72847,41038.72847,Unknown male grabbed laptop computer from table in a café and ran off / Arrest by UCPD on 5/24/12,Arrest,B00427,17,4,5,2012,96,2,22,4-96,5-22,9,5/9/2012
2532,Traffic Violation,60th St. between Woodlawn and Kimbark,41038.81528,41038.81528,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,19,4,5,2012,96,2,22,4-96,5-22,9,5/9/2012
2533,Traffic Violation,Midway Pl. at Cottage Grove,41038.96875,41038.96875,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B00000,23,4,5,2012,96,2,22,4-96,5-22,9,5/9/2012
2534,Information,56th & Hyde Park,41039.10069,41039.10069,UCPD officer found man with facial injuries standing on the sidewalk / Refused police report and CFD EMS aid,Closed,B00428,2,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2535,Found Property,58th & Ellis (Main Quad),41039.275,5/10/12 4:30 AM to 5:55 AM,Abandoned mannequin found lying in grass in the quadrangle / Held for safekeeping by UCPD,Closed,B00429,6,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2536,Theft from Person,Hyde Park & Dorchester,41039.50764,41039.50694,Unknown male grabbed iPhone from the hand of a woman standing on the sidewalk / Ran to a waiting Ford Explorer and fled the scene,Open,B00430,12,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2539,Non-Criminal,5514 S. University (Pierce Hall),41039.69375,41039.69375,Non-resident male initially refused to leave premises when asked to do so / Subject given trespass warning,Closed,B00433,16,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2537,Theft,5550 S. Greenwood (Smart Museum - Bike Rack),41039.72361,5/10/12 12:30 PM to 3:15 PM,Unknown person took secured bicycle from bike rack,Open,B00431,17,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2538,Theft,5815 S. Maryland (Mitchell Hospital),41039.73403,41039.72917,Male visitor took cash from patient's bag and refused to return it / Fled before arrival of police,Open,B00432,17,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2540,Burglary,Greenwood between 52nd & 53rd,41039.87778,5/10/12 7:00 PM to 7:15 PM,Unknown person(s) entered apartment via unlocked rear door / Took 2 laptop computers and clothing,Open,B00434,21,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2541,Theft,5550 S. University (Crown Field House),41039.89861,5/10/12 8:20 PM to 9:10 PM,"Unknown person took 2 cell phones, wallet, cash from pockets of jackets that were unsecured, hanging in area by squash court",Open,B00435,21,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2542,Traffic Violation,University at 62nd,41039.96736,41039.96736,UCPD Officer arrested motorist for driving with a revoked driver's license,Arrest,B00000,23,5,5,2012,97,2,22,5-97,5-22,10,5/10/2012
2543,Traffic Violation,54th & University,41040.09028,41040.08681,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,2,6,5,2012,97,2,22,6-97,5-22,11,5/11/2012
2544,Theft,5615 S. University,41040.36042,5/10/12 4:30 PM to 9:00 PM,Unattended personal laptop computer taken from library of fraternity house,Open,B00436,8,6,5,2012,97,2,22,6-97,5-22,11,5/11/2012
2545,Information / Robbery Arrest,64th & Cottage Grove,41040.67083,41040.67083,"UCPD officers spotted a vehicle, identified through UCPD investigation, wanted for robbery and theft in Hyde Park / Two males arrested / Property recovered",Arrest,B00437,16,6,5,2012,97,2,22,6-97,5-22,11,5/11/2012
2546,Armed Robbery,54th at Ridgewood,41041.05069,41041.04722,"Four males, one armed with a handgun, took property from four men walking on the sidewalk",Open,B00438,1,7,5,2012,97,2,22,7-97,5-22,12,5/12/2012
2547,Found Property,Madison Park near Dorchester (Alley),41041.78333,41041.77778,Some items taken in the above robbery were found discarded in the alley / Turned over to CPD for safekeeping,Closed,B00439,18,7,5,2012,97,2,22,7-97,5-22,12,5/12/2012
2548,Theft,Maryland between 54th & 55th,41042.08264,41042.07986,Unknown person cut chain and took bicycle that had been secured to a metal fence in the rear yard of an apartment building,Open,B00440,1,1,5,2012,97,2,22,1-97,5-22,13,5/13/2012
2549,Traffic Violation,55th at Dorchester,41042.41667,41042.41667,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B00000,10,1,5,2012,97,2,22,1-97,5-22,13,5/13/2012
2550,Theft,5758 S. Maryland (DCAM),41043.34444,5/11/12 to 5/14/12 4:00 PM to 7:00 M,AM/FM radio taken from desktop in unsecured office,Open,B00441,8,2,5,2012,97,2,22,2-97,5-22,14,5/14/2012
2551,Theft,5758 S. Maryland (DCAM),41043.51736,5/14/12 11:45 AM to 12:20 PM,Unknown person took $30 from wallet left unattended in storage bin in 1st floor lobby workstation,Open,B00442,12,2,5,2012,97,2,22,2-97,5-22,14,5/14/2012
2552,Traffic Violation,51st at Cornell,41043.52778,41043.52778,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,12,2,5,2012,97,2,22,2-97,5-22,14,5/14/2012
2553,Information,55th to 58th /Ellis to Woodlawn,41043.70486,5/14/12 4:50 PM to 5:05 PM,Power outage reported in the area / UCPD units provided special attention / Power restored,Closed,B00443,16,2,5,2012,97,2,22,2-97,5-22,14,5/14/2012
2554,Traffic Violation,54th & Lake Park,41043.75972,41074.75972,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,18,2,5,2012,97,2,22,2-97,5-22,14,5/14/2012
2555,Traffic Violation - Warrant,Midway Pl. at Woodlawn,41044.42569,41044.42569,UCPD officer arrested a traffic violator after determining there was an active warrant for his arrest by ISP,Arrest,B00444,10,3,5,2012,97,2,22,3-97,5-22,15,5/15/2012
2556,Traffic Violation,51st at Ellis,41044.45972,41044.45972,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,11,3,5,2012,97,2,22,3-97,5-22,15,5/15/2012
2557,Theft from Motor Vehicle,1155 E. 60th St. (Harris School Parking Lot),41044.78403,5/15/12 9:30 AM to 6:30 PM,Battery taken from car parked in parking lot,Open,B00445,18,3,5,2012,97,2,22,3-97,5-22,15,5/15/2012
2558,Theft,Midway Pl. at Woodlawn,41044.8125,5/15/12 7:00 PM to 7:25 PM,Three unattended iPhones taken while owners played Frisbee game on the Midway,Open,B00446,19,3,5,2012,97,2,22,3-97,5-22,15,5/15/2012
2559,Traffic Violation,56th & Lake Park,41045.03194,41045.03194,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,0,4,5,2012,97,2,22,4-97,5-22,16,5/16/2012
2560,Traffic Violation,55th & Dorchester,41045.44444,41045.44444,UCPD Officer arrested a motorist for driving without a valid driver's license and no insurance,Arrest,B00000,10,4,5,2012,97,2,22,4-97,5-22,16,5/16/2012
2561,Non-Criminal,1100 E. 58th St. (Ryerson Lab),41045.4625,41045.45833,Ill person transported to hospital by CFD EMS,Closed,B00447,11,4,5,2012,97,2,22,4-97,5-22,16,5/16/2012
2562,Information / Arrest,5300 S. Dorchester,41045.59167,41045.59167,Victim of a battery reported to CPD on 5/15/12 informed UCPD officers he saw offender in the area / Suspect located and arrested by UCPD / turned over to city police,Arrest,B00448,14,4,5,2012,97,2,22,4-97,5-22,16,5/16/2012
2563,Non-Criminal,6101 S. Blackstone (Steam Plant),41046.35556,5/17/12 7:45 AM to 8:00 AM,Two young children seen throwing eggs in the direction of a parked vehicle / No damage reported,Closed,B00449,8,5,5,2012,98,2,22,5-98,5-22,17,5/17/2012
2564,Criminal Damage to Property,5630 S. University (Max Palevsky - East),41046.57014,5/13/12 12:30 AM to 1:00 AM,Unknown person used marker to scrawl graffiti onto a washing machine,Open,B00450,13,5,5,2012,98,2,22,5-98,5-22,17,5/17/2012
2566,Battery,900 E. 57th St. (Knapp Center),41046.62917,5/17/12 11:30 AM to 12:15 PM,Staff member involved in verbal altercation with co-worker grabbed victim's arm and pushed victim / Refused to sign complaint / Peace restored / Declined prosecution,Cleared,B00452,15,5,5,2012,98,2,22,5-98,5-22,17,5/17/2012
2565,Theft,1131 E. 57th St. (Hutchinson Commons),41046.63056,5/17/12 11:50 AM to 2:17 PM,Unknown person gained control of victim's wallet / Attempted unauthorized use of credit card reported,Open,B00451,15,5,5,2012,98,2,22,5-98,5-22,17,5/17/2012
2567,Traffic Violation,Kenwood at 55th,41047.50764,41047.50764,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,12,6,5,2012,98,2,22,6-98,5-22,18,5/18/2012
2568,Traffic Violation,University at 58th,41047.61944,41047.61944,UCPD officer arrested a motorcyclist for driving with a suspended driver's license,Arrest,B00000,14,6,5,2012,98,2,22,6-98,5-22,18,5/18/2012
2569,Lost Property,1115 E. 58th St.,41047.70069,5/18/12 2:30 PM to 3:20 PM,Man placed his cell phone next to him while he relaxed on the lawn / Forgot to pick up phone when he left / Returned to find phone missing,Closed,B00453,16,6,5,2012,98,2,22,6-98,5-22,18,5/18/2012
2570,Criminal Damage to Property,56th at Lake Park,41047.81181,41047.80972,"Unknown person threw a rock, shattering a passenger's window in a bus traveling west on 56th St. / No injuries reported",Open,B00454,19,6,5,2012,98,2,22,6-98,5-22,18,5/18/2012
2572,Robbery,Dorchester at 58th,41048.44792,41048.44792,Man walking on the sidewalk was grabbed by two males who took his cell phone and wallet and ran off / Arrest by UCPD / Property recovered,Arrest,B00456,10,7,5,2012,98,2,22,7-98,5-22,19,5/19/2012
2573,Theft,Midway Pl. at Greenwood,41048.725,41048.72292,Unknown female asked to use woman's cell phone / Ran off with the phone but was arrested shortly thereafter,Arrest,B00458,17,7,5,2012,98,2,22,7-98,5-22,19,5/19/2012
2574,Traffic Crash,5815 S. Maryland,41048.79444,41048.39583,Traffic crash report,Closed,B00457,19,7,5,2012,98,2,22,7-98,5-22,19,5/19/2012
2575,Battery,Kimbark between 57th & 58th (Alley),41048.81458,41048.81458,Two males fighting in the alley / One subject fled as police arrived / One combatant taken to ER by CFD EMS for treatment of minor injuries / Declined prosecution,Cleared,B00459,19,7,5,2012,98,2,22,7-98,5-22,19,5/19/2012
2576,Criminal Sexual Abuse,57th between University & Woodlawn,41048.93333,41048.91667,Unknown male grabbed woman walking on the sidewalk and fondled her / Suspect ran when victim screamed,Open,B00460,22,7,5,2012,98,2,22,7-98,5-22,19,5/19/2012
2577,Injured Person,5815 S. Kimbark (Lab School Play Lot),41049.11736,41049.11111,Man using playground equipment struck his head on a metal pole / Transported to ER by CFD EMS for examination,Closed,B00461,2,1,5,2012,98,2,22,1-98,5-22,20,5/20/2012
2578,Criminal Trespass to Land,5815 S. Maryland (Mitchell Hospital),41049.78056,41049.78056,Man ignored warnings and was arrested for trespass by UCPD,Arrest,B00462,18,1,5,2012,98,2,22,1-98,5-22,20,5/20/2012
2579,Disturbance,5706 S. University (Reynolds Club),41049.83958,41049.83333,Two men had argument over use of a computer / Peace restored,Closed,B00463,20,1,5,2012,98,2,22,1-98,5-22,20,5/20/2012
2580,Battery,1131 E. 57th St. (Hutchinson Courtyard),41050.50486,41048.89583,A woman being jostled by the crowd during a concert asked an unknown female to stop shoving her. The female struck her several times on the arm with her fist. / Declined to prosecute,Cleared,B00464,12,2,5,2012,98,2,22,2-98,5-22,21,5/21/2012
2581,Robbery,Dorchester at 54th,41050.72222,41050.71875,Man forcibly took cell phone from a man walking on the sidewalk / Arrest by UCPD,Arrest,B00466,17,2,5,2012,98,2,22,2-98,5-22,21,5/21/2012
2582,Medical Call,Ellis between 56th & 57th,41050.77847,41050.77847,Sick person transported to ER by CFD EMS,Closed,B00468,18,2,5,2012,98,2,22,2-98,5-22,21,5/21/2012
2583,Possession of Cannabis,Stony Island at 60th St.,41050.92014,41050.92014,Man arrested by UCPD for possession of marijuana,Arrest,B00467,22,2,5,2012,98,2,22,2-98,5-22,21,5/21/2012
2584,Theft,1100 E. 57th St. (Regenstein Library),41050.96944,5/21/12 8:30 PM to 10:45 PM,Laptop computer taken from book bag left unattended under a table,Open,B00469,23,2,5,2012,98,2,22,2-98,5-22,21,5/21/2012
2585,Theft,5848 S. University (Kelly Hall),41051.37083,5/18/12 to 5/22/12 3:30 PM to 7:20 AM,Laptop computer taken from unsecured office,Open,B00470,8,3,5,2012,98,2,22,3-98,5-22,22,5/22/2012
2586,Traffic Violation,Midway Pl. at Ellis,41051.65278,41051.65278,UCPD officer arrested a motorist for driving with a revoked driver's license,Arrest,B00000,15,3,5,2012,98,2,22,3-98,5-22,22,5/22/2012
2587,Injured Person,57th between Kimbark & Kenwood,41051.88681,41051.875,Woman's arm scolded when her friend accidently spilled hot coffee / Transported to ER for treatment,Closed,B00472,21,3,5,2012,98,2,22,3-98,5-22,22,5/22/2012
2588,Medical Call,5811 S. Ellis (Cobb Hall),41051.94514,41051.9375,Man tripped and fell into a glass lobby door shattering glass and causing cuts to his head and both arms / Taken to ER for treatment,Closed,B00473,22,3,5,2012,98,2,22,3-98,5-22,22,5/22/2012
2589,Armed Robbery,Drexel at 53rd,41052.01458,41052.01042,Two males took computer and bag from a man at gunpoint and fled in a vehicle / Police pursued and arrested two suspects / Property recovered,Arrest,B00474,0,4,5,2012,98,2,22,4-98,5-22,23,5/23/2012
2590,Non-Criminal Incident,5730 S. Drexel (Comer Hospital),41052.375,5/15/12 to 5/16/12 11:15 PM to 8:30 AM,Staff member reported the heels were broken on a pair of her high heel shoes left in the employees locker room,Closed,B00475,9,4,5,2012,98,2,22,4-98,5-22,23,5/23/2012
2591,Warrant,61st between University & Woodlawn,41052.78403,41052.78403,UCPD arrested a man wanted on a warrant,Arrest,B00476,18,4,5,2012,98,2,22,4-98,5-22,23,5/23/2012
2592,Theft,5730 S. Ellis (Crerar Bike Rack),41053.01528,5/23/12 to 5/24/12 9:00 PM to 12:00 AM,Unknown person removed secured bicycle from bike rack,Open,B00477,0,5,5,2012,99,2,22,5-99,5-22,24,5/24/2012
2593,Traffic Violation,57th at Greenwood,41053.0625,41053.0625,UCPD officer arrested a motorist for driving without a valid driver's license,Arrest,B00000,1,5,5,2012,99,2,22,5-99,5-22,24,5/24/2012
2594,Traffic Violation,55th & Ellis,41053.46111,41053.46111,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,11,5,5,2012,99,2,22,5-99,5-22,24,5/24/2012
2596,Theft,1225 E. 60th St. (Mott Bldg. Bike Rack),41053.7125,5/24/12 12:00 PM to 5:00 PM,Secured bicycle taken from bike rack,Open,B00479,17,5,5,2012,99,2,22,5-99,5-22,24,5/24/2012
2597,Damage to Property,915 E. 60th St. (Logan Center),41053.80694,5/21/12 to 5/22/12 6:00 AM to 5:00 PM,Door on 10th floor damaged,Closed,B00480,19,5,5,2012,99,2,22,5-99,5-22,24,5/24/2012
2598,Damage to Property,1111 E. 60th St. (Law School Parking Lot),41054.47014,11/25/12 7:30 AM to 10:30 AM,Motorcycle mirror broken and scratches on side as if it had fallen to the ground,Closed,B00481,11,6,5,2012,99,2,22,6-99,5-22,25,5/25/2012
2599,Medical Call,1101 E. 56th St. (Max Palevsky),41054.7875,41054.7875,Sick person transported to ER by CFD EMS,Closed,B00482,18,6,5,2012,99,2,22,6-99,5-22,25,5/25/2012
2600,Disturbance,1100 E. 57th St. (Mansueto Library),41054.99097,41054.98264,Two males climbed to roof of the library / Subjects climbed down upon arrival of UCPD / No injuries,Closed,B00483,23,6,5,2012,99,2,22,6-99,5-22,25,5/25/2012
2602,Resisting Arrest / Traffic Violation,55th between Kimbark & Kenwood,41055.48611,41055.48611,Motorist arrested by UCPD officer for driving with an expired driver's license / Resisted arrest,Arrest,B00485,11,7,5,2012,99,2,22,7-99,5-22,26,5/26/2012
2603,Traffic Crash,56th between Ellis & Greenwood,41055.71875,41055.70833,Traffic Crash Report,Closed,B00486,17,7,5,2012,99,2,22,7-99,5-22,26,5/26/2012
2604,Criminal Damage to Vehicle,Blackstone between 54th & 55th,41055.77917,5/17/12 to 5/26/12 5:00 PM to 6:30 PM,Unknown person smashed passenger's side window of car parked on the street,Open,B00487,18,7,5,2012,99,2,22,7-99,5-22,26,5/26/2012
2605,Criminal Damage to Vehicle,52nd between Greenwood & University,41055.92153,41055.91667,Unknown person smashed passenger's side window of car parked on the street,Open,B00488,22,7,5,2012,99,2,22,7-99,5-22,26,5/26/2012
2606,Criminal Damage to Vehicle,52nd between Greenwood & University,41055.95903,41055.91667,Unknown person smashed passenger's side window of car parked on the street,Open,B00490,23,7,5,2012,99,2,22,7-99,5-22,26,5/26/2012
2607,Theft of Services,1101 E. 56th St.,41055.96806,41055.96806,Unknown passenger ran from taxi without paying full fare that was due,Open,B00489,23,7,5,2012,99,2,22,7-99,5-22,26,5/26/2012
2609,Lost Property,Between 1526 E. 55th St. & 6300 S. Woodlawn,41056.00625,41055.75,Cell phone lost from purse,Closed,B00491,0,1,5,2012,99,2,22,1-99,5-22,27,5/27/2012
2608,Disturbance,5715 S. Kimbark,41056.07847,41056.07847,Complaints of a loud party / Peace restored,Closed,B00000,1,1,5,2012,99,2,22,1-99,5-22,27,5/27/2012
2610,Theft,57th at Lake Park (Café),41056.72361,41056.71875,Man's iPhone snatched from table in cafe by one of two males who ran to a waiting vehicle and fled,Open,B00492,17,1,5,2012,99,2,22,1-99,5-22,27,5/27/2012
2611,Disturbance,5715 S. Kimbark,41056.98333,41056.98403,Complaints of a loud party / Peace restored,Closed,B00000,23,1,5,2012,99,2,22,1-99,5-22,27,5/27/2012
2612,Traffic Violation,55th & Lake Park,41057.40486,41057.40486,UCPD officer arrested a motorist for driving with a suspended driver's license and no insurance,Arrest,B00000,9,2,5,2012,99,2,22,2-99,5-22,28,5/28/2012
2613,Traffic Violation,55th & Cottage Grove,41057.67569,41057.67569,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,16,2,5,2012,99,2,22,2-99,5-22,28,5/28/2012
2614,Traffic Violation,Midway Pl. at Ellis,41058.01111,41058.01111,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,0,3,5,2012,99,2,22,3-99,5-22,29,5/29/2012
2615,Battery,57th at Dorchester,41058.44583,41057.83333,"Unknown male approached woman on the sidewalk, complemented her blouse, touched her, and walked off",Open,B00493,10,3,5,2012,99,2,22,3-99,5-22,29,5/29/2012
2616,Theft,1126 E. 59th St. (Social Science Research),41058.59375,5/29/12 12:00 PM to 1:50 PM,"Unattended laptop computer, cash and other items taken from unsecured office",Open,B00494,14,3,5,2012,99,2,22,3-99,5-22,29,5/29/2012
2617,Traffic Violation,Drexel at 53rd,41058.60694,41058.60694,UCPD officer arrested a motorist for driving with a suspended driver's license and no insurance,Arrest,B00000,14,3,5,2012,99,2,22,3-99,5-22,29,5/29/2012
2618,Traffic Violation,Ingleside at 52nd,41058.61944,41058.61944,UCPD officer arrested a motorist for driving with a suspended driver's license and no insurance,Arrest,B00000,14,3,5,2012,99,2,22,3-99,5-22,29,5/29/2012
2619,Theft,5816 S. Ellis (Bike Rack),41058.6625,5/24/12 8:15 AM to 11:00 PM,Secured bicycle taken from bike rack,Open,B00495,15,3,5,2012,99,2,22,3-99,5-22,29,5/29/2012
2620,Theft,924 E. 57th St. (Knapp Center Bike Rack),41058.72083,5/24/12 9:00 AM to 4:30 PM,Secured bicycle taken from bike rack,Open,B00496,17,3,5,2012,99,2,22,3-99,5-22,29,5/29/2012
2621,Armed Robbery,Dorchester at 56th,41058.75347,41058.75347,"Three males, one armed with a handgun, took wallet and cell phone from man walking on the sidewalk / Two arrests by UCPD / Property and weapon recovered",Arrest,B00497,18,3,5,2012,99,2,22,3-99,5-22,29,5/29/2012
2622,Theft,5840 S. Maryland (Parking Structure),41059.07847,41059.07639,Man took sweeper machine from the garage / Arrest by UCPD,Arrest,B00498,1,4,5,2012,99,2,22,4-99,5-22,30,5/30/2012
2623,Traffic Violation,61st at Ellis,41059.47361,41059.47361,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,11,4,5,2012,99,2,22,4-99,5-22,30,5/30/2012
2624,Theft,1116 E. 59th St. (Harper),41059.53889,5/30/12 8:00 AM to 10:00 AM,Unknown person took 2 unattended purses and a camera from an unsecured office,Open,B00499,12,4,5,2012,99,2,22,4-99,5-22,30,5/30/2012
2625,Traffic Violation,53rd at University,41059.58819,41059.58819,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,14,4,5,2012,99,2,22,4-99,5-22,30,5/30/2012
2626,Suspicious Activity,5550 S. Greenwood (Smart Museum),41059.80208,5/30/12 4:00 PM to 5:00 PM,Suspicious behavior of three individuals relating to a particular exhibit reported / Non criminal,Closed,B00500,19,4,5,2012,99,2,22,4-99,5-22,30,5/30/2012
2627,Traffic Violation,5500 S. Lake Park,41059.90625,41059.90625,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,21,4,5,2012,99,2,22,4-99,5-22,30,5/30/2012
2628,Traffic Violation,59th at Cottage Grove,41060.00069,41060.00069,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,0,5,5,2012,100,2,22,5-100,5-22,31,5/31/2012
2629,Lost Property,5807 S. Woodlawn (Booth School),41060.75764,5/31/12 10:445 AM to 6:00 PM,Woman reported misplacing wallet while in the Booth School building,Closed,B00501,18,5,5,2012,100,2,22,5-100,5-22,31,5/31/2012
2630,Traffic Violation,Woodlawn at 61st,41060.88542,41060.88542,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,21,5,5,2012,100,2,22,5-100,5-22,31,5/31/2012
2631,Traffic Violation,Midway Pl. at Dorchester,41060.92569,41060.92569,UCPD officer arrested a motorist for driving with a suspended driver's license,Arrest,B00000,22,5,5,2012,100,2,22,5-100,5-22,31,5/31/2012
2633,Theft,1116 E. 59th St. (Harper),41061.47361,41061.44444,iPhone taken from unattended bag left in hallway,Open,B00503,11,6,6,2012,100,2,23,6-100,6-23,1,6/1/2012
