,Date/Time,Location,Race,Gender,IDOT Classification,Reason for Stop,Citations/Violations,Disposition,Search
1016,6/19/2017 12:20 PM,5316 Woodlawn,Caucasian,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1017,6/19/2017 1:26 PM,1050 E 59th,African American,Female,Lane Violation,Wrong way on a one way street,Two citations issued,Citation issued,No
1018,6/19/2017 4:48 PM,5800 Dorchester,African American,Female,Lane Violation,Wrong way on a one way street,,Verbal Warning,No
1019,6/20/2017 10:24 AM,5500 S. KENWOOD,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1020,6/20/2017 10:40AM,6100 S. UNIVERSITY,African American,Male,Lane Violation,Wrong way on one way street,One citation issued,Citation Issued,No
1021,6/20/2017 12:35 PM,5300 S. BLACKSTONE,African American,Female,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
1022,6/20/2017 3:22 PM,5500 S. UNIVERSITY,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
1023,6/21/2017 11:35 AM,5530 S Cornell,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1024,6/21/2017 4:35 PM,5683 S Blackstone,Caucasian,Female,Lane Violation,Improper lane usage,,Verbal Warning,No
1025,6/21/2017 9:52 PM,1126 E 47th,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1026,No traffic stops for 06/22/2017,No traffic stops for 06/22/2017,No traffic stops for 06/22/2017,No traffic stops for 06/22/2017,No traffic stops for 06/22/2017,No traffic stops for 06/22/2017,No traffic stops for 06/22/2017,No traffic stops for 06/22/2017,No traffic stops for 06/22/2017
1027,6/23/2017 5:35 PM,5500 S Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1028,6/23/2017 11:50 PM,5500 S Cottage Grove,African American,Male,Lane Violation,Driving in wrong lane,,Verbal Warning,No
1029,6/24/2017 1:35 PM,Midway Plaisance and Harper,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1030,6/24/2017 2:24 PM,5500 Blackstone,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1031,6/24/2017 5:48 PM,5500 S Blackstone,Asian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1032,6/24/2017 9:00 PM,5225 S Blackstone,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1033,6/25/2017 8:38 AM,5500 University,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1034,6/25/2017 12:54 PM,5300 Harper,Hispanic,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1035,6/25/2017 1:15 PM,5000 Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,One citation issued,Citation issued,No
1036,No traffic stops for 06/26/2017,No traffic stops for 06/26/2017,No traffic stops for 06/26/2017,No traffic stops for 06/26/2017,No traffic stops for 06/26/2017,No traffic stops for 06/26/2017,No traffic stops for 06/26/2017,No traffic stops for 06/26/2017,No traffic stops for 06/26/2017
1037,6/27/2017 11:57 PM,5300 S Lake Park,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1038,6/28/2017 3:31 PM,5400 S Shore Drive,Asian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1039,6/28/2017 11:04 PM,5700 S Drexel,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1040,6/29/2017 8:15 AM,5300 S Shore,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1041,6/29/2017 10:20 AM,5800 S Cottage Grove,African American,Male,Moving Violation - Other,Failure to yield right of way,,Verbal Warning,No
1042,6/29/2017 9:46 PM,5500 S Woodlawn,Asian,Female,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1043,6/29/2017 10:37 PM,4900 S Greenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1044,7/1/2017 1:50 PM,5300 S Harper,African American,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1045,7/1/2017 9:38 PM,5320 S University,Caucasian,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1046,7/2/2017 2:21 PM,5100 S Blackstone,Asian,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1047,7/3/2017 8:36 AM,5312 S Hyde Park,Asian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1048,7/3/2017 9:21 AM,5500 S Blackstone,Asian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1049,7/4/2017 11:25 PM,5900 S Blackstone,African American,Female,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1050,7/4/2017 3:45 PM,1420 E 53rd,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1051,No traffic stops for 07/05/2017,No traffic stops for 07/05/2017,No traffic stops for 07/05/2017,No traffic stops for 07/05/2017,No traffic stops for 07/05/2017,No traffic stops for 07/05/2017,No traffic stops for 07/05/2017,No traffic stops for 07/05/2017,No traffic stops for 07/05/2017
1052,7/6/2017 6:36 PM,5100 S Greenwood,Caucasian,Male,Lane Violation,Wrong way on a one way street,,Verbal Warning,No
1053,7/6/2017 10:58 PM,6100 S Cottage Grove,African American,Male,Lane Violation,Failure to signal,,Verbal Warning,No
1054,7/7/2017 4:20 PM,5300 Dorchester,African American,Male,Lane Violation,Wrong way on a one way street,,Verbal Warning,No
1055,7/7/2017 6:02 PM,5300 S Lake Park,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1056,7/8/2017 7:58 AM,Midway Plaisance and Stony Island,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1057,7/8/2017 2:40 PM,6000 Ingleside,African American,Female,Lane Violation,Wrong way on a one way street,,Verbal Warning,No
1058,7/8/2017 5:41 PM,5300 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1059,7/8/2017 10:02 PM,6018 S Stony Island,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued,Citation Issued,No
1060,No traffic stops for 07/09/2017,No traffic stops for 07/09/2017,No traffic stops for 07/09/2017,No traffic stops for 07/09/2017,No traffic stops for 07/09/2017,No traffic stops for 07/09/2017,No traffic stops for 07/09/2017,No traffic stops for 07/09/2017,No traffic stops for 07/09/2017
1061,7/10/2017 4:11 PM,6400 S Cottage Grove,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1062,7/10/2017 4:53 PM,5100 S Lake Park,African American,Female,Lane Violation,Improper turn,"Three citations issued for improper turn, suspended DL, and no insurance",Citation Issued,No
1063,7/11/2017 9:03 AM,6200 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1064,7/11/2017 3:18 PM,5500 S Kimbark,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1065,7/11/2017 6:30 PM,Midway Plaisance and Cottage Grove,African American,Male,Traffic Sign/Signal,Ran red light,Two citations issued,Citation issued,No
1066,7/12/2017 9:35 AM,5300 Shore Dr,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1067,7/12/2017 11:56 AM,5300 Shore Dr,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1068,7/12/2017 4:33 PM,5900 Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1069,7/13/2017 11:40 AM,5322 S. SHORE DR.,African American,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
1070,7/14/2017 10:54 AM,6003 S Ellis,Caucasian,Female,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1071,7/14/2017 4:03 PM,5900 S Woodlawn,Caucasian,Male,Speed,Speeding,,Verbal Warning,No
1072,7/14/2017 5:34 PM,5900 S Woodlawn,Asian,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1073,7/15/2017 9:45 AM,5500 S Kimbark,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1074,7/15/2017 3:08 PM,5800 S Stony Island,African American,Male,Speed,Speeding,"Two citations issued for speeding and suspended DL, arrested on warrant",Citation issued,Yes
1075,7/16/2017 2:41 PM,5500 S Kimbark,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1076,7/17/2017 10:35 AM,1400 E 53rd,Hispanic,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1077,7/17/2017 10:58 AM,Midway and Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1078,7/17/2017 2:43 PM,6100 Woodlawn,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1079,7/18/2017 2:07 AM,6300 S Ingleside,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1080,7/18/2017 10:27 AM,5500 Blackstone,Caucasian,Male,Moving Violation - Other,Using cell phone while driving,,Verbal Warning,No
1081,7/18/2017 12:30 PM,6000 Drexel,African American,Female,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1082,7/18/2017 2:07 PM,6100 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1083,7/18/2017 3:22 PM,6100 Drexel,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1084,7/19/2017 8:53 PM,5500 S Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1085,7/19/2017 9:20 PM,5500 S Ingleside,Hispanic,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Two citations issued for failure to yield at crosswalk and no valid DL,Citation issued,No
1086,7/20/2017 9:36 AM,6200 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1087,7/20/2017 9:26 PM,6209 S Dorchester,African American,Male,Lane Violation,Improper U-Turn,,Verbal Warning,No
1088,6/21/2017 7:39 AM,6000 Ellis,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1089,6/21/2017 8:09 PM,6000 Ingleside,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1090,6/21/2017 10:36 AM,6100 Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,Citation issued for no insurance,Citations Issued,No
1091,6/21/2017 1:29 PM,5100 Woodlawn,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1092,No traffic stops for 07/22/2017,No traffic stops for 07/22/2017,No traffic stops for 07/22/2017,No traffic stops for 07/22/2017,No traffic stops for 07/22/2017,No traffic stops for 07/22/2017,No traffic stops for 07/22/2017,No traffic stops for 07/22/2017,No traffic stops for 07/22/2017
1093,No traffic stops for 07/23/2017,No traffic stops for 07/23/2017,No traffic stops for 07/23/2017,No traffic stops for 07/23/2017,No traffic stops for 07/23/2017,No traffic stops for 07/23/2017,No traffic stops for 07/23/2017,No traffic stops for 07/23/2017,No traffic stops for 07/23/2017
1094,7/24/2017 10:56 AM,5323 S Woodlawn,Caucasian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1095,7/24/2017 11:54 AM,5500 S Harper,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1096,7/24/2017 3:06 PM,5336 S Hyde Park,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1097,7/24/2017 3:12 PM,5300 S Harper,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1098,7/24/2017 7:47 PM,5647 S Lake Park,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued,Citation issued,No
1099,7/24/2017 8:34 PM,5700 S Harper,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued,Citation issued,No
1100,7/25/2017 2:56 PM,5600 S University,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1101,7/26/2017 10:04 AM,5400 S Shore,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1102,7/26/2017 5:07 PM,5500 Ellis,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1103,7/27/2017 6:00 PM,5300 S Hyde Park,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1104,7/27/2017 7:09 PM,5600 Stony Island,African American,Male,Lane Violation,Improper overtaking,,Verbal Warning,No
1105,7/27/2017 7:54 PM,5900 Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1106,7/28/2017 7:27 AM,5300 S Harper,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1107,7/28/2017 12:18 PM,920 E Midway,Caucasian,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1108,7/28/2017 2:44 PM,5300 S Blackstone,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1109,7/28/2017 3:00 PM,1400 E Midway Plaisance,Caucasian,Female,Speed,Speeding,,Verbal Warning,No
1110,7/28/2017 3:25 PM,1400 E Midway Plaisance,African American,Female,Speed,Speeding,,Verbal Warning,No
1111,7/28/2017 9:23 PM,1455 E 55th,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1112,7/29/2017 9:25 AM,6300 S Greenwood,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1113,7/29/2017 12:02 PM,6300 S University,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1114,7/29/2017 2:59 PM,1380 E 53rd,Hispanic,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1115,7/29/2017 5:11 PM,5800 S Dorchester,African American,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1116,7/29/2017 9:48 PM,5500 S Drexel,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1117,7/30/2017 9:22 AM,5407 S Greenwood,Asian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1118,7/30/2017 4:53 PM,1315 E 53rd,Caucasian,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1119,7/30/2017 11:22 PM,5500 S Woodlawn,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1120,7/31/2017 9:47 PM,6100 S Dorchester,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1121,8/1/2017 5:14 PM,1155 E. 60TH STREET,African American,Female,Traffic Sign/Signal,Ran stop sign,Three citations issued,Citation issued,No
1122,8/2/2017 3:55 PM,5500 S Blackstone,Hispanic,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1123,8/2/2017 3:55 PM,6141 S Ingleside,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1124,8/2/2017 4:01 PM,5500 S Woodlawn,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1125,8/2/2017 7:22 PM,4924 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1126,8/3/2017 8:24 AM,4700 S Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1127,8/3/2017 9:28 PM,4700 S Drexel,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1128,No traffic stops for 08/04/2017,No traffic stops for 08/04/2017,No traffic stops for 08/04/2017,No traffic stops for 08/04/2017,No traffic stops for 08/04/2017,No traffic stops for 08/04/2017,No traffic stops for 08/04/2017,No traffic stops for 08/04/2017,No traffic stops for 08/04/2017
1129,8/5/2017 7:48 PM,6100 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1130,8/5/2017 5:08 PM,6200 S Greenwood,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1131,No traffic stops for 08/06/2017,No traffic stops for 08/06/2017,No traffic stops for 08/06/2017,No traffic stops for 08/06/2017,No traffic stops for 08/06/2017,No traffic stops for 08/06/2017,No traffic stops for 08/06/2017,No traffic stops for 08/06/2017,No traffic stops for 08/06/2017
1132,No traffic stops for 08/07/2017,No traffic stops for 08/07/2017,No traffic stops for 08/07/2017,No traffic stops for 08/07/2017,No traffic stops for 08/07/2017,No traffic stops for 08/07/2017,No traffic stops for 08/07/2017,No traffic stops for 08/07/2017,No traffic stops for 08/07/2017
1133,No traffic stops for 08/08/2017,No traffic stops for 08/08/2017,No traffic stops for 08/08/2017,No traffic stops for 08/08/2017,No traffic stops for 08/08/2017,No traffic stops for 08/08/2017,No traffic stops for 08/08/2017,No traffic stops for 08/08/2017,No traffic stops for 08/08/2017
1134,8/9/2017 9:27 AM,5300 Kimbark,African American,Female,Equipment,No brake lights,,Verbal Warning,No
1135,8/9/2017 2:53 PM,5400 Berkeley,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1136,8/9/2017 3:09 PM,5300 Kimbark,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1137,8/9/2017 6:05 PM,6300 S Ellis,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1138,8/10/2017 11:23 AM,5200 Woodlawn,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1139,8/10/2017 12:11 PM,5500 Dorchester,Caucasian,Male,Lane Violation,Wrong way on a one way street,,Verbal Warning,No
1140,8/10/2017 2:43 PM,5339 Kimbark,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1141,8/11/2017 8:59 AM,5400 S Cornell,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1142,8/11/2017 9:20 AM,6100 S Dorchester,African American,Female,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1143,8/11/2017 10:11 AM,1155 E 57th,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1144,8/12/2017 8:46 AM,5100 S Harper,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1145,8/12/2017 12:23 PM,6100 S Dorchester,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1146,8/12/2017 3:31 PM,5100 S Drexel,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1147,8/12/2017 4:44 PM,5000 S Woodlawn,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1148,8/12/2017 5:58 PM,5500 S Kenwood,African American,Female,Lane Violation,Improper passing,,Verbal Warning,No
1149,8/12/2017 10:44 PM,6300 S Woodlawn,African American,Female,Traffic Sign/Signal,Ran red light,Two citations issued,Citation issued,No
1150,8/13/2017 11:20 AM,6100 S Ingleside,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1151,8/13/2017 3:07 PM,5500 S Blackstone,African American,Female,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1152,8/13/2017 3:46 PM,6000 S Dorchester,Caucasian,Female,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
1153,8/13/2017 6:31 PM,5300 S Harper,Caucasian,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1154,8/14/2017 7:43 AM,Cottage Grove and Midway Plaisance,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1155,8/14/2017 11:09 AM,5500 Kimbark,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1156,8/14/2017 11:38 AM,5100 University,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1157,8/14/2017 11:56 PM,5700 Kimbark,African American,Male,Traffic Sign/Signal,Ran red light,,Verbal Warning,No
1158,8/14/2017 12:33 PM,6100 Ellis,African American,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1159,8/14/2017 5:48 PM,5800 S Kimbark,Caucasian,Male,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1160,No traffic stops for 08/15/2017,No traffic stops for 08/15/2017,No traffic stops for 08/15/2017,No traffic stops for 08/15/2017,No traffic stops for 08/15/2017,No traffic stops for 08/15/2017,No traffic stops for 08/15/2017,No traffic stops for 08/15/2017,No traffic stops for 08/15/2017
1161,8/16/2017 2:09 PM,5300 S Greenwood,African American,Female,Lane Violation,Wrong way on one way road,,Verbal Warning,No
1162,8/17/2017 8:52 AM,950 E 57th,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1163,8/17/2017 9:19 AM,5300 S Kenwood,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,Two citations issued,Citation Issued,No
1164,8/17/2017 4:11 PM,5300 S Kenwood,Caucasian,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1165,8/18/2017 5:48 PM,5500 S Dorchester,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1166,No traffic stops for 08/19/2017,No traffic stops for 08/19/2017,No traffic stops for 08/19/2017,No traffic stops for 08/19/2017,No traffic stops for 08/19/2017,No traffic stops for 08/19/2017,No traffic stops for 08/19/2017,No traffic stops for 08/19/2017,No traffic stops for 08/19/2017
1167,8/20/2017 9:53 PM,5400 S Dorchester,African American,Male,Lane Violation,Failure to signal,,Verbal Warning,Yes
1168,8/21/2017 12:56 AM,5300 S Harper,Caucasian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1169,No traffic stops for 08/21/2017,No traffic stops for 08/21/2017,No traffic stops for 08/21/2017,No traffic stops for 08/21/2017,No traffic stops for 08/21/2017,No traffic stops for 08/21/2017,No traffic stops for 08/21/2017,No traffic stops for 08/21/2017,No traffic stops for 08/21/2017
1170,No traffic stops for 08/22/2017,No traffic stops for 08/22/2017,No traffic stops for 08/22/2017,No traffic stops for 08/22/2017,No traffic stops for 08/22/2017,No traffic stops for 08/22/2017,No traffic stops for 08/22/2017,No traffic stops for 08/22/2017,No traffic stops for 08/22/2017
1171,There were no traffic stops to report for 08-23-20,,,,,,,,
1172,8/24/2017 9:14 AM,6300 S. ELLIS,Hispanic,Female,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1173,8/24/2017 10:28 PM,5600 S. KENWOOD,Asian,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
1174,8/25/2017 7:35 AM,5811 S. ELLIS,African American,Male,Lane Violation,Improper lane usage,Two citations issued,Citation Issued,No
1175,8/25/2017 7:35 AM,5811 S. ELLIS,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation Issued,No
1176,8/26/2017 8:40 AM,5000 S. DORCHESTER,Caucasian,Male,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
1177,8/26/2017 3:46 PM,5800 S. KENWOOD,Caucasian,Male,Lane Violation,Improper lane usage,,Verbal Warning,No
1178,8/27/2017 8:50 AM,5300 S. KIMBARK,Caucasian,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1179,8/27/2017 10:42 AM,5500 S. HARPER,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1180,8/27/2017 1:43 PM,5800 S. WOODLAWN,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1181,8/28/2017 10:53 AM,5500 S. UNIVERSITY,African American,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1182,8/28/2017 1:55 PM,6054 S. DREXEL,Caucasian,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1183,8/28/2017 6:43 PM,6000 S. ELLIS,African American,Female,Traffic Sign/Signal,Disobeyed Stop Sign,,Verbal Warning,No
1184,No traffic stops for 08/29/2017,No traffic stops for 08/29/2017,No traffic stops for 08/29/2017,No traffic stops for 08/29/2017,No traffic stops for 08/29/2017,No traffic stops for 08/29/2017,No traffic stops for 08/29/2017,No traffic stops for 08/29/2017,No traffic stops for 08/29/2017
1185,8/30/2017 10:09 AM,1102 E. 56th Street,Caucasian,Female,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1186,8/30/2017 3:51 PM,800 E. Midway Plaisance,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation Issued,No
1187,8/30/2017 8:45 PM,1369 S. Hyde Park Blvd.,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1188,8/30/2017 9:39 PM,6100 S. Woodlawn,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation Issued,No
1189,8/31/2017 12:12 PM,5500 S. Dorchester,Caucasian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1190,9/1/2017 2:06 PM,5400 S. Ellis,African American,Female,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1191,9/1/2017 8:20 PM,5900 S. Blackstone,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1192,9/2/2017 1:08 PM,5400 S. Cottage Grove,African American,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1193,9/3/2017 5:53 PM,5500 S. Blackstone,African American,Female,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
1194,9/3/2017 7:37 PM,Midway Plaisance & Woodlawn,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,,Verbal Warning,No
1195,9/4/2017 12:00 PM,6338 S. Cottage Grove,African American,Male,Lane Violation,Improper U-Turn,,Verbal Warning,No
1196,No traffic stops for 09/05/2017,No traffic stops for 09/05/2017,No traffic stops for 09/05/2017,No traffic stops for 09/05/2017,No traffic stops for 09/05/2017,No traffic stops for 09/05/2017,No traffic stops for 09/05/2017,No traffic stops for 09/05/2017,No traffic stops for 09/05/2017
1197,9/6/2017 5:03 PM,6300 S. Ellis,African American,Male,Lane Violation,Improper U-Turn,,Verbal Warning,No
1198,9/7/2017 8:35 AM,5100 Drexel,African American,Female,Traffic Sign/Signal,Ran stop sign,Two citations issued,Citations Issued,No
1199,9/7/2017 4:50 PM,5500 Greenwood,Asian,Female,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1200,9/7/2017 5:36 PM,5500 S Ellis,Caucasian,Male,Traffic Sign/Signal,Failure to yield to pedestrian in crosswalk,,Verbal Warning,No
1201,No traffic stops for 09/08/2017,No traffic stops for 09/08/2017,No traffic stops for 09/08/2017,No traffic stops for 09/08/2017,No traffic stops for 09/08/2017,No traffic stops for 09/08/2017,No traffic stops for 09/08/2017,No traffic stops for 09/08/2017,No traffic stops for 09/08/2017
1202,9/9/2017 2:22 PM,5800 S Cottage Grove,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,One citation issued,Citation issued,No
1203,9/10/2017 8:09 AM,5745 S Cottage Grove,African American,Male,Lane Violation,Improper passing,,Verbal Warning,No
1204,9/10/2017 8:54 AM,5700 S Kimbark,Caucasian,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1205,9/10/2017 9:02 PM,950 E 54th,African American,Male,Lane Violation,Wrong way on one way street,,Verbal Warning,No
1206,9/10/2017 9:06 PM,5300 S Kimbark,African American,Male,Traffic Sign/Signal,Disobeyed traffic control device,Two citations issued,Citation issued,No
1207,9/11/2017 9:34 AM,5700 Ellis,Asian,Male,Traffic Sign/Signal,Ran stop sign,,Verbal Warning,No
